,Wingspan,Chordlen,H.S. Span,H.S. Chordlen,Min Power,Prod. Power,Power Ratio,Cm-Cp Hor Stab Dist,Min Sink,Eff. Mass,Lift Ratio,Wing Reynolds,Hor Stab Reynolds
0,2.125,0.5721804482841211,0.5,0.125,18.171778851728178,194.85,10.72267066366314,0.1813057929046511,8.796999999999999,3.4317126195077132,7.252231716186044,354295.16460585716,77400.22524107834
0,2.125,0.5721804482841211,0.5,0.25,18.99061867537989,205.67499999999998,10.830347526626099,0.14362659322111868,8.943,3.5383053007964653,5.745063728844747,360175.2480470821,157369.60653199127
0,2.125,0.5721804482841211,0.625,0.125,18.215193765551216,197.55624999999998,10.845684791650179,0.18110743444043115,8.805,3.437397726042129,7.2442973776172455,354617.360958801,77470.61307806011
0,2.125,0.5721804482841211,0.625,0.25,19.146360023647954,211.08749999999998,11.024941541853526,0.14362747758936797,8.971,3.5584397959861094,5.745099103574718,361302.93528238544,157862.32139086365
0,2.125,0.5721804482841211,0.75,0.125,18.2586434331379,200.2625,10.968093042254191,0.18090990630604076,8.812999999999999,3.443083387549916,7.236396252241629,354939.55731174484,77541.00091504188
0,2.125,0.5721804482841211,0.75,0.25,19.303132460376002,216.5,11.215796215687515,0.14362826713183405,9.0,3.57862931211004,5.745130685273362,362470.89706180687,158372.63320898148
0,2.125,0.5721804482841211,0.875,0.125,18.302399335011344,202.96875,11.089734536156332,0.18068867808482478,8.822,3.4488322094764468,7.22754712339299,355302.0282088066,77620.18723164637
0,2.125,0.5721804482841211,0.875,0.25,19.459913460432887,221.9125,11.403570753344118,0.14362898510909256,9.028,3.598772417319918,5.745159404363702,363598.5842971102,158865.3480678539
0,2.125,0.5721804482841211,1.0,0.125,18.34591884207242,205.67499999999998,11.210940251644882,0.18049291016906915,8.83,3.4545190369209253,7.219716406762766,355624.2245617505,77690.57506862814
0,2.125,0.5721804482841211,1.0,0.25,19.6170972554315,227.325,11.588105877237226,0.1436296234950331,9.056,3.6189194835116765,5.745184939801324,364726.2715324136,159358.06292672624
0,2.125,0.5721804482841211,1.125,0.125,18.389472937422045,208.38125,11.331550975338189,0.1802979685327207,8.838,3.4602064067688483,7.2119187413088275,355946.4209146943,77760.96290560991
0,2.125,0.5721804482841211,1.125,0.25,19.774447654971755,232.73749999999998,11.769608135754142,0.14363019246173026,9.084,3.6390699045778976,5.74520769846921,365853.95876771706,159850.77778559865
0,2.125,0.762907264378828,0.5,0.125,27.108339571392946,286.86249999999995,10.582075646666384,0.15561813580129238,10.0,4.596056476639024,6.224725432051695,536993.9215730472,87984.79622721193
0,2.125,0.762907264378828,0.5,0.25,27.884218826368414,297.6875,10.675841480575922,0.14013229569091867,10.0,4.678132218817724,5.605291827636747,536993.9215730472,175969.59245442387
0,2.125,0.762907264378828,0.625,0.125,27.156954142059007,289.56874999999997,10.66278451129885,0.15561813580129238,10.0,4.601242121546017,6.224725432051695,536993.9215730472,87984.79622721193
0,2.125,0.762907264378828,0.625,0.25,28.06332244467463,303.09999999999997,10.80057432962707,0.14013229569091867,10.0,4.696874798445692,5.605291827636747,536993.9215730472,175969.59245442387
0,2.125,0.762907264378828,0.75,0.125,27.205623532713375,292.275,10.743183285196688,0.15561813580129238,10.0,4.6064277664530096,6.224725432051695,536993.9215730472,87984.79622721193
0,2.125,0.762907264378828,0.75,0.25,28.243142193394732,308.5125,10.923448173275574,0.14013229569091867,10.0,4.71561737807366,5.605291827636747,536993.9215730472,175969.59245442387
0,2.125,0.762907264378828,0.875,0.125,27.25434774335604,294.98125,10.823273144443876,0.15561813580129238,10.0,4.611613411360001,6.224725432051695,536993.9215730472,87984.79622721193
0,2.125,0.762907264378828,0.875,0.25,28.42367807252874,313.92499999999995,11.044489006628806,0.14013229569091867,10.0,4.73435995770163,5.605291827636747,536993.9215730472,175969.59245442387
0,2.125,0.762907264378828,1.0,0.125,27.303126773987,297.6875,10.903055260455414,0.15561813580129238,10.0,4.616799056266993,6.224725432051695,536993.9215730472,87984.79622721193
0,2.125,0.762907264378828,1.0,0.25,28.604930082076628,319.3375,11.163722445177083,0.14013229569091867,10.0,4.753102537329599,5.605291827636747,536993.9215730472,175969.59245442387
0,2.125,0.762907264378828,1.125,0.125,27.351960624606274,300.39374999999995,10.982530799995404,0.15561813580129238,10.0,4.621984701173986,6.224725432051695,536993.9215730472,87984.79622721193
